Route_Number,Reason,Boro,Boro Code,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
K1509,Other,Brooklyn,,ALL AMERICAN SCHOOL BUS CORP.,16.00,14,Running Late
K008,Heavy Traffic,Brooklyn,,PRIDE TRANSPORTATION (SCH AGE),46.00,11,Running Late
X290,Problem Run,Brooklyn,,VAN TRANS LLC (B2192),16.00,15,Running Late
X146,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,11,Running Late
#3,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,14,Running Late
RT#4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,17,Running Late
K1853,Heavy Traffic,Brooklyn,,QUALITY TRANSPORTATION CORP.,16.00,15,Running Late
K182,Other,Brooklyn,,EMPIRE STATE BUS CORP.,16.00,11,Running Late
W907,Heavy Traffic,Westchester,WES,MAR-CAN TRANSPORT CO. INC (B2192),16.00,12,Running Late
8:24,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,16,Running Late
Q2906,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,18,Running Late
MP5,Heavy Traffic,Queens,QS,ALINA SERVICES CORP.,0.00,13,Running Late
K1403,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,20,Running Late
Q005,Other,Queens,QS,ALLIED TRANSIT CORP.,16.00,12,Running Late
B0204A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,46.00,12,Running Late
Q2902,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,22,Running Late
Q2906,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,32,Running Late
K9435,Other,Brooklyn,,ALLIED TRANSIT CORP.,16.00,12,Running Late
Q000,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,31.00,18,Running Late
K974,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,16,Running Late
X216,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,26,Running Late
X054,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,23,Running Late
K1403,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,18,Running Late
K9286,Heavy Traffic,Brooklyn,,"BORO TRANSIT, INC.",16.00,14,Running Late
X065,Problem Run,Brooklyn,,VAN TRANS LLC (B2192),16.00,16,Running Late
X054,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,15,Running Late
K116,Heavy Traffic,Brooklyn,,EMPIRE STATE BUS CORP.,16.00,12,Running Late
K290,Accident,Brooklyn,,"BORO TRANSIT, INC.",16.00,24,Running Late
K1916,Heavy Traffic,Brooklyn,,"BORO TRANSIT, INC.",16.00,17,Running Late
UCP-6,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,31.00,15,Running Late
BX-08,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,46.00,20,Running Late
K1406,Other,Brooklyn,,ALLIED TRANSIT CORP.,16.00,15,Running Late
K1409,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,12,Running Late
X2075,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,41,Running Late
X311,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,11,Running Late
X2365,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,22,Running Late
X2378,Other,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,13,Running Late
X295,Problem Run,Brooklyn,,VAN TRANS LLC (B2192),16.00,15,Running Late
X2160,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,22,Running Late
X2016,Heavy Traffic,Brooklyn,,LOGAN TRANSPORTATION SYSTEMS,16.00,15,Running Late
GV0129,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
X084,Problem Run,Brooklyn,,VAN TRANS LLC (B2192),0.00,15,Running Late
GV2A,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,14,Running Late
K3376,Heavy Traffic,Brooklyn,,"BORO TRANSIT, INC.",0.00,28,Running Late
M1169,Heavy Traffic,Manhattan,MA,SNT BUS INC,16.00,15,Running Late
3403A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,31.00,20,Running Late
M9512,Late return from Field Trip,Manhattan,MA,SNT BUS INC,16.00,32,Running Late
X299,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,16,Running Late
3314A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,31.00,11,Running Late
K1433,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,18,Running Late
K1509,Other,Brooklyn,,ALL AMERICAN SCHOOL BUS CORP.,0.00,36,Running Late
X2023,Other,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,23,Running Late
X041,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,12,Running Late
Q2906,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,26,Running Late
BX20,Other,Brooklyn,,PHILLIPS BUS SERVICE,16.00,16,Running Late
BX17,Weather Conditions,Brooklyn,,PHILLIPS BUS SERVICE,31.00,11,Running Late
Q2906,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,23,Running Late
X239,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,11,Running Late
X2160,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,15,Running Late
X217,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,18,Running Late
X2222,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,17,Running Late
K017,Accident,Brooklyn,,ALLIED TRANSIT CORP.,31.00,16,Running Late
K9498,Heavy Traffic,Brooklyn,,SNT BUS INC,16.00,11,Running Late
X150,Accident,Brooklyn,,VAN TRANS LLC (B2192),61.00,17,Running Late
GV0094,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",0.00,23,Running Late
K9908,Late return from Field Trip,Brooklyn,,ALL AMERICAN SCHOOL BUS CORP.,16.00,33,Running Late
B0416A,Heavy Traffic,Queens,QS,I & Y TRANSIT CORP,61.00,14,Running Late
X018,Other,Brooklyn,,VAN TRANS LLC (B2192),16.00,15,Running Late
RT#4,Other,Brooklyn,,"G.V.C., LTD.",31.00,18,Running Late
K9147,Heavy Traffic,Brooklyn,,SNT BUS INC,0.00,36,Running Late
3006Z,Other,Brooklyn,,L & M BUS CORP.,61.00,14,Running Late
RT#14,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",46.00,14,Running Late
X2144,Other,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,12,Running Late
K1406,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,12,Running Late
RT002,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,20,Running Late
HK5,Heavy Traffic,Brooklyn,,ANOTHER RIDE INC.,0.00,11,Running Late
K974,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,18,Running Late
X2022,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,25,Running Late
4201A,Other,Brooklyn,,L & M BUS CORP.,16.00,15,Running Late
FH1,Weather Conditions,Queens,QS,ALINA SERVICES CORP.,16.00,12,Running Late
BX17,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,31.00,13,Running Late
Q2953,Heavy Traffic,Queens,QS,EMPIRE STATE BUS CORP.,16.00,27,Running Late
K974,Problem Run,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,17,Running Late
X262,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,12,Running Late
X084,Problem Run,Brooklyn,,VAN TRANS LLC (B2192),16.00,21,Running Late
K1429,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,14,Running Late
X077,Other,Brooklyn,,VAN TRANS LLC (B2192),0.00,14,Running Late
ME2,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,12,Running Late
K1406,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,15,Running Late
X150,Other,Brooklyn,,VAN TRANS LLC (B2192),16.00,17,Running Late
B0507A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,46.00,20,Running Late
K974,Other,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,17,Running Late
RT#4,Weather Conditions,Brooklyn,,"G.V.C., LTD.",16.00,12,Running Late
RT 3,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,11,Running Late
X295,Problem Run,Brooklyn,,VAN TRANS LLC (B2192),16.00,13,Running Late
Q2906,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,27,Running Late
X2376,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,23,Running Late
MN4,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,11,Running Late
X299,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,16,Running Late
X2125,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,11,Running Late
X2097,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,21,Running Late
B0226A,Other,Brooklyn,,L & M BUS CORP.,31.00,12,Running Late
MN4,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,18,Running Late
K2031,Mechanical Problem,Brooklyn,,JOFAZ TRANSPORTATION INC.,46.00,11,Running Late
BK4,Weather Conditions,Queens,QS,I & Y TRANSIT CORP,31.00,16,Running Late
4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,12,Running Late
BX20,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,31.00,13,Running Late
GV014,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,17,Running Late
K1427,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,15,Running Late
X074,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,12,Running Late
K8589,Heavy Traffic,Brooklyn,,QUALITY TRANSPORTATION CORP.,46.00,13,Running Late
X2030,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,20,Running Late
K974,Other,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,19,Running Late
X054,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,17,Running Late
RT#2,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,12,Running Late
X9071,Late return from Field Trip,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,25,Running Late
X076,Late return from Field Trip,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,40,Running Late
K1426,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,15,Running Late
X054,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,16,Running Late
X026,Mechanical Problem,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,14,Running Late
X357,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,12,Running Late
X2216,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,22,Running Late
MN4,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,12,Running Late
X2080,Other,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,12,Running Late
K8589,Heavy Traffic,Brooklyn,,QUALITY TRANSPORTATION CORP.,46.00,16,Running Late
RT3,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,13,Running Late
RT#4,Other,Brooklyn,,"G.V.C., LTD.",16.00,17,Running Late
RT#4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,16,Running Late
X2222,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,27,Running Late
X084,Problem Run,Brooklyn,,VAN TRANS LLC (B2192),0.00,16,Running Late
X123,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,11,Running Late
BX12,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,16.00,12,Running Late
4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",0.00,11,Running Late
X160,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,13,Running Late
RT#4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,16,Running Late
GV14,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,17,Running Late
NYM3,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,11,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,15,Running Late
RT002,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,12,Running Late
X352,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,12,Running Late
HG#4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,18,Running Late
HK2,Heavy Traffic,Brooklyn,,Don Thomas Buses,16.00,12,Running Late
RT#4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,16,Running Late
MN6,Accident,Brooklyn,,"DON THOMAS BUSES, INC.",46.00,16,Running Late
X2329,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,12,Running Late
B0920A,Other,Brooklyn,,L & M BUS CORP.,16.00,12,Running Late
9,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
X023,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,12,Running Late
RT#5,Other,Brooklyn,,"G.V.C., LTD.",31.00,15,Running Late
B0207A,Other,Brooklyn,,L & M BUS CORP.,31.00,14,Running Late
Q2906,Delayed by School,Queens,QS,ALLIED TRANSIT CORP.,0.00,29,Running Late
K9972,Late return from Field Trip,Brooklyn,,ALL AMERICAN SCHOOL BUS CORP.,16.00,33,Running Late
K8589,Heavy Traffic,Brooklyn,,QUALITY TRANSPORTATION CORP.,46.00,19,Running Late
X065,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,15,Running Late
UCP 4,Accident,Brooklyn,,PHILLIPS BUS SERVICE,46.00,12,Running Late
X084,Problem Run,Brooklyn,,VAN TRANS LLC (B2192),0.00,16,Running Late
RT#5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,12,Running Late
VC2,Heavy Traffic,Brooklyn,,Don Thomas Buses,0.00,12,Running Late
X2276,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,18,Running Late
K970,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,16,Running Late
Q2902,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,12,Running Late
GRAM 7,Heavy Traffic,Brooklyn,,SELBY TRANSPORTATION,61.00,12,Running Late
GV0360,Accident,Brooklyn,,"G.V.C., LTD.",31.00,28,Running Late
X2164,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,30,Running Late
X2073,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,43,Running Late
X9275,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,31.00,18,Running Late
Q2981,Heavy Traffic,Queens,QS,PRIDE TRANSPORTATION (SCH AGE),46.00,15,Running Late
GV337,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,11,Running Late
B1102A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,46.00,12,Running Late
K1406,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,12,Running Late
X148,Other,Brooklyn,,VAN TRANS LLC (B2192),0.00,12,Running Late
HK1,Heavy Traffic,Brooklyn,,ANOTHER RIDE INC.,0.00,12,Running Late
UCP-6,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,31.00,15,Running Late
BX15,Other,Brooklyn,,PHILLIPS BUS SERVICE,31.00,12,Running Late
X165,Problem Run,Brooklyn,,"BORO TRANSIT, INC.",31.00,12,Running Late
ME1,Heavy Traffic,Brooklyn,,Don Thomas Buses,16.00,12,Running Late
X065,Problem Run,Brooklyn,,VAN TRANS LLC (B2192),0.00,12,Running Late
GV129,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,11,Running Late
B0961A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,31.00,14,Running Late
X070,Other,Brooklyn,,VAN TRANS LLC (B2192),16.00,12,Running Late
GV9384,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,15,Running Late
K1433,Other,Brooklyn,,ALLIED TRANSIT CORP.,46.00,14,Running Late
X2080,Accident,Brooklyn,,PIONEER TRANSPORTATION CORP,46.00,20,Running Late
Q2934,Heavy Traffic,Queens,QS,EMPIRE STATE BUS CORP.,16.00,12,Running Late
RT#5,Other,Brooklyn,,"G.V.C., LTD.",16.00,15,Running Late
X084,Problem Run,Brooklyn,,VAN TRANS LLC (B2192),16.00,13,Running Late
Q2914,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,12,Running Late
3,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,11,Running Late
Q2953,Heavy Traffic,Queens,QS,EMPIRE STATE BUS CORP.,16.00,15,Running Late
X2001,Other,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,11,Running Late
K1408,Other,Brooklyn,,ALLIED TRANSIT CORP.,16.00,11,Running Late
K8589,Heavy Traffic,Brooklyn,,QUALITY TRANSPORTATION CORP.,46.00,18,Running Late
RT#4,Other,Brooklyn,,"G.V.C., LTD.",16.00,16,Running Late
X026,Accident,Brooklyn,,PIONEER TRANSPORTATION CORP,31.00,26,Running Late
Q2953,Heavy Traffic,Queens,QS,EMPIRE STATE BUS CORP.,16.00,11,Running Late
Q2914,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,16,Running Late
UP2A,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,31.00,13,Running Late
BX13,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,16.00,15,Running Late
B0441A,Other,Queens,QS,I & Y TRANSIT CORP,46.00,11,Running Late
X070,Other,Brooklyn,,VAN TRANS LLC (B2192),16.00,21,Running Late
Q2994,Other,Queens,QS,ALLIED TRANSIT CORP.,16.00,15,Running Late
X189,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),31.00,12,Running Late
B0411A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,31.00,14,Running Late
HG#2,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
X054,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,15,Running Late
RT1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,11,Running Late
X027,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,11,Running Late
X2216,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,22,Running Late
X2040,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,11,Running Late
3,Weather Conditions,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
X2272,Other,Brooklyn,,"GRANDPA`S BUS CO., INC.",16.00,20,Running Late
K#2,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,12,Running Late
SS#5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
VOA#!,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
BX17,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,16.00,12,Running Late
K9530,Mechanical Problem,Brooklyn,,ALL AMERICAN SCHOOL BUS CORP.,16.00,33,Running Late
X027,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,13,Running Late
K979,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,15,Running Late
X2289,Other,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,14,Running Late
X2280,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,16,Running Late
X016,Accident,Brooklyn,,"CONSOLIDATED BUS TRANSIT, INC.",61.00,15,Running Late
Q2902,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,15,Running Late
LI4,Other,Queens,QS,ALINA SERVICES CORP.,16.00,16,Running Late
K9435,Accident,Brooklyn,,ALLIED TRANSIT CORP.,31.00,25,Running Late
Q2906,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,26,Running Late
RT#01,Other,Brooklyn,,"G.V.C., LTD.",31.00,11,Running Late
X137,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,14,Running Late
Q2966,Other,Queens,QS,ALLIED TRANSIT CORP.,16.00,22,Running Late
X155,Other,Brooklyn,,VAN TRANS LLC (B2192),16.00,15,Running Late
K1410,Heavy Traffic,Brooklyn,,ALLIED TRANSIT CORP.,16.00,12,Running Late
Q2902,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,16.00,15,Running Late
UCP11,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,16.00,12,Running Late
X2289,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,28,Running Late
BX13,Weather Conditions,Brooklyn,,PHILLIPS BUS SERVICE,16.00,13,Running Late
X2001,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,18,Running Late
4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
Q2905,Heavy Traffic,Queens,QS,EMPIRE STATE BUS CORP.,16.00,11,Running Late
X2370,Other,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,25,Running Late
B0414A,Other,Queens,QS,I & Y TRANSIT CORP,16.00,12,Running Late
5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,13,Running Late
CS6,Weather Conditions,Queens,QS,ALINA SERVICES CORP.,16.00,14,Running Late
Q2906,Delayed by School,Queens,QS,ALLIED TRANSIT CORP.,16.00,37,Running Late
X2212,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,20,Running Late
K970,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,13,Running Late
K235,Other,Brooklyn,,"NEW DAWN TRANSIT, LLC (B2321)",31.00,12,Running Late
X349,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,15,Running Late
X2023,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,25,Running Late
X351,Other,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,16,Running Late
L618,Other,Staten Island,STI,NYC SCHOOL BUS UMBRELLA SERVICES,61.00,13,Running Late
X2001,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,20,Running Late
K1408,Other,Brooklyn,,ALLIED TRANSIT CORP.,16.00,16,Running Late
K971,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,18,Running Late
X255,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,14,Running Late
X278,Delayed by School,Brooklyn,,VAN TRANS LLC (B2192),16.00,19,Running Late
1,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",0.00,15,Running Late
8,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",0.00,12,Running Late
Q2966,Other,Queens,QS,ALLIED TRANSIT CORP.,16.00,15,Running Late
M#1D,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,13,Running Late
X160,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,13,Running Late
0112A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,31.00,11,Running Late
X319,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,13,Running Late
B0552A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,0.00,15,Running Late
P002,Delayed by School,Queens,QS,"BORO TRANSIT, INC.",16.00,12,Running Late
SS#5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
RT4,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,11,Running Late
GV0001,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",31.00,11,Running Late
HG#5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,12,Running Late
3314A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,0.00,18,Running Late
Q2953,Heavy Traffic,Queens,QS,EMPIRE STATE BUS CORP.,16.00,15,Running Late
NYC1,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,11,Running Late
HB2,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,11,Running Late
X2216,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,22,Running Late
X070,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),16.00,15,Running Late
B0201Z,Delayed by School,Brooklyn,,L & M BUS CORP.,46.00,16,Running Late
FH1,Other,Queens,QS,ALINA SERVICES CORP.,16.00,12,Running Late
3,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,14,Running Late
X106,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,11,Running Late
X155,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,11,Running Late
7,Other,Brooklyn,,"G.V.C., LTD.",31.00,11,Running Late
K891,Heavy Traffic,Brooklyn,,PRIDE TRANSPORTATION (SCH AGE),61.00,15,Running Late
Q2966,Other,Queens,QS,ALLIED TRANSIT CORP.,16.00,12,Running Late
X2091,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,32,Running Late
B0414A,Other,Queens,QS,I & Y TRANSIT CORP,31.00,11,Running Late
E#5,Heavy Traffic,Brooklyn,,"G.V.C., LTD.",16.00,13,Running Late
K428,Heavy Traffic,Brooklyn,,PRIDE TRANSPORTATION (SCH AGE),61.00,14,Running Late
K429,Heavy Traffic,Brooklyn,,PRIDE TRANSPORTATION (SCH AGE),61.00,12,Running Late
K970,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,12,Running Late
BX-20,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,46.00,24,Running Late
K822,Heavy Traffic,Brooklyn,,PRIDE TRANSPORTATION (SCH AGE),61.00,11,Running Late
X163,Other,Brooklyn,,PIONEER TRANSPORTATION CORP,31.00,14,Running Late
X200,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,13,Running Late
UCP1,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,31.00,12,Running Late
BX12,Heavy Traffic,Brooklyn,,PHILLIPS BUS SERVICE,16.00,12,Running Late
X2216,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,0.00,24,Running Late
X160,Heavy Traffic,Brooklyn,,VAN TRANS LLC (B2192),0.00,17,Running Late
K971,Heavy Traffic,Brooklyn,,CAREFUL BUS SERVICE INC (B2192),16.00,17,Running Late
3311A,Heavy Traffic,Brooklyn,,L & M BUS CORP.,31.00,14,Running Late
X275,Other,Brooklyn,,VAN TRANS LLC (B2192),31.00,11,Running Late
X2378,Heavy Traffic,Brooklyn,,PIONEER TRANSPORTATION CORP,16.00,35,Running Late
NYC,Heavy Traffic,Brooklyn,,"DON THOMAS BUSES, INC.",0.00,16,Running Late
3104Z,Other,Brooklyn,,L & M BUS CORP.,31.00,15,Running Late
K1409,Other,Brooklyn,,ALLIED TRANSIT CORP.,16.00,11,Running Late
Q2920,Other,Queens,QS,ALLIED TRANSIT CORP.,16.00,12,Running Late
