Route_Number,Reason,Boro,Boro Code,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
X082,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),0.00,19,Running Late
K133,Other,Brooklyn,BR,L & M BUS CORP. (B2192),15.00,21,Running Late
K008,Mechanical Problem,Brooklyn,BR,L & M BUS CORP. (B2192),15.00,20,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",16.00,11,Running Late
K1409,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,22,Running Late
M908,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,30.00,11,Running Late
X2275,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,2.00,20,Running Late
K081,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",30.00,18,Running Late
K1433,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,25,Running Late
X2256,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,14.00,23,Running Late
K290,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,13,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
K080,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",25.00,14,Running Late
Q9918,Late return from Field Trip,Queens,QS,QUALITY TRANSPORTATION CO,30.00,25,Running Late
Q9937,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,30.00,30,Running Late
Q9922,Late return from Field Trip,Queens,QS,QUALITY TRANSPORTATION CO,30.00,25,Running Late
K134,Mechanical Problem,Brooklyn,BR,L & M BUS CORP. (B2192),30.00,18,Running Late
K081,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",45.00,14,Running Late
Q154,Heavy Traffic,Queens,QS,L & M BUS CORP. (B2192),30.00,21,Running Late
K1512,Heavy Traffic,Brooklyn,BR,ALL AMERICAN SCHOOL BUS C,10.00,33,Running Late
7,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
4,Other,Brooklyn,BR,"G.V.C., LTD.",15.00,16,Running Late
Q074,Other,Queens,QS,L & M BUS CORP. (B2192),30.00,22,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
19,Delayed by School,Brooklyn,BR,"G.V.C., LTD.",20.00,15,Running Late
X082,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),0.00,19,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",16.00,19,Running Late
Q154,Heavy Traffic,Queens,QS,L & M BUS CORP. (B2192),25.00,21,Running Late
X2341,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,13.00,12,Running Late
X2036,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,15.00,15,Running Late
Q177,Heavy Traffic,Queens,QS,"RELIANT TRANS, INC. (B232",15.00,11,Running Late
K121,Delayed by School,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",10.00,12,Running Late
K1516,Heavy Traffic,Brooklyn,BR,ALL AMERICAN SCHOOL BUS C,15.00,17,Running Late
X2256,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,3.00,15,Running Late
MN4,Other,Brooklyn,BR,"DON THOMAS BUSES, INC.",15.00,11,Running Late
1,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
K081,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",10.00,15,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,11,Running Late
K280,Other,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,15,Running Late
K1426,Delayed by School,Brooklyn,BR,ALLIED TRANSIT CORP.,45.00,30,Running Late
X9156,Late return from Field Trip,Brooklyn,BR,"GRANDPA`S BUS CO., INC.",46.00,38,Running Late
K009,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",20.00,15,Running Late
X343,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),30.00,13,Running Late
Q015,Other,Queens,QS,EMPIRE CHARTER SERVICE IN,15.00,11,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,13,Running Late
3508A,Heavy Traffic,Brooklyn,BR,L & M BUS CORP.,15.00,12,Running Late
4,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,11,Running Late
7,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
X9018,Late return from Field Trip,Brooklyn,BR,LOGAN TRANSPORTATION SYST,20.00,25,Running Late
Q9937,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,30.00,30,Running Late
4,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
B1105A,Weather Conditions,Brooklyn,BR,L & M BUS CORP.,20.00,13,Running Late
B0915A,Weather Conditions,Brooklyn,BR,L & M BUS CORP.,15.00,21,Running Late
K268,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),10.00,20,Running Late
7,Other,Brooklyn,BR,"G.V.C., LTD.",20.00,15,Running Late
K133,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),25.00,20,Running Late
Q2600,Heavy Traffic,Queens,QS,QUALITY TRANSPORTATION CO,20.00,12,Running Late
K247,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),40.00,13,Running Late
K269,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),30.00,19,Running Late
X2262,Other,Brooklyn,BR,"GRANDPA`S BUS CO., INC.",16.00,15,Running Late
K245,Mechanical Problem,Brooklyn,BR,L & M BUS CORP. (B2192),30.00,15,Running Late
K1421,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,15,Running Late
K290,Heavy Traffic,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
K289,Heavy Traffic,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
Q2937,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,20.00,20,Running Late
3508A,Weather Conditions,Brooklyn,BR,MJT BUS,15.00,12,Running Late
K253,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,11,Running Late
B0917A,Weather Conditions,Brooklyn,BR,L & M BUS CORP.,20.00,17,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,15,Running Late
K1426,Delayed by School,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,20,Running Late
Q2948,Heavy Traffic,Queens,QS,ALLIED TRANSIT CORP.,20.00,22,Running Late
X343,Weather Conditions,Brooklyn,BR,VAN TRANS LLC (B2192),20.00,15,Running Late
3602A,Weather Conditions,Brooklyn,BR,L & M BUS CORP.,15.00,16,Running Late
2,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",45.00,12,Running Late
K269,Problem Run,Brooklyn,BR,L & M BUS CORP. (B2192),1.00,20,Running Late
3306A,Weather Conditions,Brooklyn,BR,L & M BUS CORP.,20.00,18,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",16.00,13,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,11,Running Late
B0418A,Weather Conditions,Brooklyn,BR,L & M BUS CORP.,15.00,13,Running Late
K289,Late return from Field Trip,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,30,Running Late
Q9496,Late return from Field Trip,Queens,QS,BOBBY`S BUS CO. INC.,60.00,50,Running Late
Q9305,Late return from Field Trip,Queens,QS,"GRANDPA`S BUS CO., INC.",1.00,50,Running Late
4,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,19,Running Late
3,Other,Brooklyn,BR,"G.V.C., LTD.",5.00,14,Running Late
X2037,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CORP,0.00,11,Running Late
11,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",31.00,18,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,15,Running Late
7,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",16.00,13,Running Late
X070,Late return from Field Trip,Brooklyn,BR,PIONEER TRANSPORTATION CORP,16.00,35,Running Late
K125,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),20.00,22,Running Late
K127,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),10.00,21,Running Late
K263,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),10.00,18,Running Late
Q3064,Other,Queens,QS,PIONEER TRANSPORTATION CO,15.00,30,Running Late
K016,Other,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",30.00,13,Running Late
K168,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",30.00,12,Running Late
X212,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,9.00,11,Running Late
4,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
M1257,Other,Manhattan,MA,SNT BUS INC,15.00,11,Running Late
Q158,Heavy Traffic,Queens,QS,"RELIANT TRANS, INC. (B232",25.00,12,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",45.00,18,Running Late
X2283,Heavy Traffic,Brooklyn,BR,"GRANDPA`S BUS CO., INC.",20.00,13,Running Late
K1426,Delayed by School,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,19,Running Late
6,Weather Conditions,Brooklyn,BR,"G.V.C., LTD.",30.00,11,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,12,Running Late
K361,Heavy Traffic,Brooklyn,BR,CAREFUL BUS,20.00,16,Running Late
X201,Other,Brooklyn,BR,CONSOLIDATED BUS TRANS. I,45.00,12,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,14,Running Late
K580,Weather Conditions,Brooklyn,BR,"RELIANT TRANS, INC. (B232",25.00,14,Running Late
4,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,20,Running Late
K9407,Late return from Field Trip,Brooklyn,BR,ALLIED TRANSIT CORP.,30.00,25,Running Late
10:00 PM,Mechanical Problem,Brooklyn,BR,L & M BUS CORP.,45.00,16,Running Late
K131,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),20.00,14,Running Late
10:00 PM,Mechanical Problem,Brooklyn,BR,L & M BUS CORP.,45.00,16,Running Late
7,Delayed by School,Brooklyn,BR,"G.V.C., LTD.",30.00,29,Running Late
K269,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),35.00,19,Running Late
K268,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),10.00,20,Running Late
K131,Other,Brooklyn,BR,L & M BUS CORP. (B2192),20.00,16,Running Late
K280,Other,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,14,Running Late
M627,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,4.00,15,Running Late
K294,Heavy Traffic,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
K168,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",15.00,12,Running Late
Q016,Mechanical Problem,Queens,QS,L & M BUS CORP. (B2192),10.00,19,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,13,Running Late
8,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",45.00,18,Running Late
M1257,Heavy Traffic,Manhattan,MA,SNT BUS INC,30.00,20,Running Late
